amount,article,points,vehicleClass,CASE_ID
36.0,157,0,A,A10374
36.0,157,0,A,A10379
36.0,157,0,A,A10381
36.0,157,0,A,A10382
36.0,157,0,A,A10383
36.0,157,0,A,A10384
36.0,157,0,A,A10385
36.0,157,0,A,A10386
36.0,157,0,A,A10388
36.0,157,0,A,A10390
36.0,157,0,A,A10391
36.0,157,0,A,A10392
36.0,157,0,A,A10393
36.0,157,0,A,A10396
36.0,157,0,A,A10397
36.0,157,0,A,A10400
22.0,7,0,A,A10401
22.0,7,0,A,A10402
22.0,7,0,A,A10403
22.0,7,0,A,A10404
22.0,7,0,A,A10406
22.0,7,0,A,A10407
22.0,7,0,A,A10409
21.0,7,0,A,A1041
22.0,7,0,A,A10411
22.0,7,0,A,A10413
22.0,7,0,A,A10418
21.0,7,0,A,A1042
22.0,7,0,A,A10420
22.0,7,0,A,A10421
22.0,7,0,A,A10422
22.0,7,0,A,A10423
22.0,7,0,A,A10425
22.0,7,0,A,A10426
22.0,7,0,A,A10427
22.0,7,0,A,A10428
22.0,7,0,A,A10429
21.0,7,0,A,A1043
22.0,7,0,A,A10430
22.0,7,0,A,A10432
22.0,7,0,A,A10434
22.0,7,0,A,A10435
22.0,7,0,A,A10436
22.0,7,0,A,A10437
22.0,7,0,A,A10438
21.0,7,0,A,A1044
22.0,7,0,A,A10442
22.0,7,0,A,A10446
22.0,7,0,A,A10447
22.0,7,0,A,A10448
22.0,7,0,A,A10449
21.0,7,0,A,A1045
22.0,7,0,A,A10450
36.0,157,0,A,A10452
36.0,157,0,A,A10456
36.0,157,0,A,A10457
36.0,157,0,A,A10458
21.0,7,0,A,A1046
36.0,157,0,A,A10461
36.0,157,0,A,A10462
36.0,157,0,A,A10463
36.0,157,0,A,A10465
36.0,157,0,A,A10466
36.0,157,0,A,A10467
36.0,157,0,A,A10468
21.0,7,0,A,A1047
36.0,157,0,A,A10472
36.0,157,0,A,A10473
36.0,157,0,A,A10474
36.0,157,0,A,A10475
36.0,157,0,A,A10476
36.0,157,0,A,A10477
36.0,157,0,A,A10478
36.0,158,0,A,A10479
21.0,7,0,A,A1048
36.0,157,0,A,A10480
36.0,157,0,A,A10481
36.0,157,0,A,A10482
36.0,157,0,A,A10485
36.0,157,0,A,A10486
36.0,157,0,A,A10487
36.0,157,0,A,A10488
36.0,157,0,A,A10489
36.0,157,0,A,A10490
36.0,157,0,A,A10492
74.0,158,0,A,A10495
36.0,157,0,C,A10497
36.0,157,0,A,A10498
36.0,157,0,A,A10499
35.0,7,0,A,A105
36.0,157,0,A,A10500
22.0,7,0,A,A10501
36.0,157,0,A,A10502
36.0,157,0,A,A10503
36.0,157,0,A,A10505
22.0,7,0,A,A10506
36.0,157,0,A,A10508
36.0,157,0,A,A10509
36.0,157,0,A,A10512
36.0,157,0,A,A10513
36.0,157,0,A,A10514
36.0,157,0,A,A10515
36.0,157,0,A,A10517
36.0,157,0,A,A10519
36.0,157,0,A,A10521
36.0,157,0,A,A10522
36.0,157,0,A,A10524
36.0,157,0,A,A10526
36.0,157,0,A,A10527
36.0,157,0,A,A10528
36.0,157,0,A,A10531
36.0,157,0,A,A10532
36.0,157,0,A,A10533
36.0,157,0,A,A10535
36.0,157,0,A,A10536
36.0,157,0,A,A10539
36.0,157,0,A,A10543
36.0,157,0,A,A10544
36.0,157,0,A,A10545
36.0,157,0,A,A10546
36.0,157,0,A,A10547
36.0,157,0,A,A10549
35.0,157,0,A,A1055
36.0,157,0,A,A10550
22.0,7,0,A,A10552
22.0,7,0,A,A10553
22.0,7,0,A,A10554
22.0,7,0,A,A10555
22.0,7,0,A,A10556
22.0,7,0,A,A10558
22.0,7,0,A,A10559
22.0,7,0,A,A10560
22.0,7,0,A,A10561
22.0,7,0,A,A10563
22.0,7,0,A,A10564
22.0,7,0,A,A10565
22.0,7,0,A,A10566
22.0,7,0,A,A10569
35.0,157,0,A,A1057
22.0,7,0,A,A10570
22.0,7,0,A,A10571
22.0,7,0,A,A10572
22.0,7,0,A,A10574
22.0,7,0,A,A10577
22.0,7,0,A,A10579
22.0,7,0,A,A10581
22.0,7,0,A,A10584
22.0,7,0,A,A10585
22.0,7,0,A,A10586
22.0,7,0,A,A10588
22.0,7,0,A,A10589
35.0,157,0,A,A1059
22.0,7,0,A,A10594
22.0,7,0,A,A10595
22.0,7,0,A,A10596
22.0,7,0,A,A10597
35.0,157,0,A,A1060
36.0,157,0,A,A10604
36.0,157,0,A,A10605
36.0,157,0,A,A10607
36.0,157,0,A,A10608
36.0,157,0,A,A10614
36.0,157,0,A,A10615
36.0,157,0,A,A10618
36.0,157,0,A,A10619
36.0,157,0,A,A10620
36.0,157,0,A,A10621
36.0,157,0,A,A10623
36.0,157,0,A,A10624
36.0,157,0,A,A10625
36.0,157,0,A,A10626
36.0,157,0,A,A10627
36.0,157,0,A,A10628
36.0,157,0,A,A10631
36.0,157,0,A,A10634
22.0,7,0,A,A10636
36.0,157,0,A,A10639
36.0,157,0,A,A10640
36.0,157,0,A,A10641
36.0,157,0,A,A10646
36.0,157,0,A,A10648
36.0,157,0,A,A10649
35.0,157,0,A,A1065
22.0,7,0,A,A10651
22.0,7,0,A,A10655
22.0,7,0,A,A10656
22.0,7,0,A,A10657
22.0,7,0,A,A10658
22.0,7,0,A,A10659
35.0,157,0,A,A1066
22.0,7,0,A,A10660
22.0,7,0,A,A10661
22.0,7,0,A,A10663
22.0,7,0,A,A10664
22.0,7,0,A,A10665
22.0,7,0,A,A10667
22.0,7,0,A,A10669
35.0,7,0,A,A1067
22.0,7,0,A,A10670
22.0,7,0,A,A10671
22.0,7,0,A,A10672
22.0,7,0,A,A10673
22.0,7,0,A,A10674
22.0,7,0,A,A10675
22.0,7,0,A,A10679
22.0,7,0,A,A10680
22.0,7,0,A,A10681
22.0,7,0,A,A10683
22.0,7,0,A,A10685
22.0,7,0,A,A10686
22.0,7,0,A,A10688
22.0,7,0,A,A10689
35.0,157,0,A,A1069
22.0,7,0,A,A10690
22.0,7,0,A,A10692
22.0,7,0,A,A10693
22.0,7,0,A,A10694
22.0,7,0,A,A10695
22.0,7,0,A,A10697
22.0,7,0,A,A10699
35.0,157,0,A,A1070
22.0,7,0,A,A10700
36.0,157,0,A,A10701
36.0,157,0,A,A10702
36.0,157,0,A,A10704
36.0,157,0,A,A10709
35.0,157,0,A,A1071
36.0,157,0,A,A10712
36.0,157,0,A,A10714
36.0,157,0,A,A10715
36.0,157,0,A,A10716
36.0,157,0,A,A10718
36.0,157,0,A,A10719
35.0,157,0,A,A1072
36.0,157,0,A,A10720
74.0,158,0,A,A10721
36.0,157,0,A,A10725
36.0,157,0,A,A10728
36.0,157,0,A,A10729
36.0,157,0,A,A10733
36.0,157,0,A,A10734
36.0,157,0,A,A10736
36.0,157,0,A,A10737
36.0,157,0,A,A10738
36.0,157,0,A,A10739
35.0,157,0,A,A1074
36.0,157,0,A,A10740
36.0,157,0,A,A10741
36.0,157,0,A,A10742
36.0,157,0,A,A10744
36.0,157,0,A,A10745
36.0,157,0,A,A10747
36.0,157,0,A,A10750
36.0,157,0,A,A10751
36.0,157,0,A,A10752
36.0,157,0,A,A10753
22.0,7,0,A,A10755
36.0,157,0,A,A10757
36.0,157,0,A,A10758
36.0,157,0,A,A10759
35.0,157,0,A,A1076
36.0,157,0,A,A10761
36.0,157,0,A,A10762
36.0,157,0,A,A10764
36.0,157,0,A,A10769
35.0,157,0,A,A1077
36.0,157,0,A,A10771
36.0,157,0,A,A10774
36.0,157,0,A,A10776
36.0,157,0,A,A10777
36.0,157,0,A,A10779
35.0,157,0,A,A1078
36.0,157,0,A,A10781
36.0,157,0,A,A10783
36.0,157,0,A,A10785
36.0,157,0,A,A10786
36.0,157,0,A,A10788
36.0,157,0,A,A10789
35.0,157,0,A,A1079
36.0,157,0,A,A10790
36.0,157,0,A,A10791
36.0,157,0,A,A10792
36.0,157,0,A,A10794
36.0,157,0,A,A10797
22.0,7,0,A,A10798
36.0,157,0,A,A10799
35.0,7,0,A,A108
35.0,157,0,A,A1080
36.0,157,0,A,A10802
36.0,157,0,A,A10803
36.0,157,0,A,A10804
36.0,157,0,A,A10805
36.0,157,0,A,A10806
36.0,157,0,A,A10809
71.0,158,0,A,A1081
22.0,7,0,A,A10810
22.0,7,0,A,A10811
36.0,157,0,A,A10813
36.0,157,0,A,A10814
36.0,157,0,A,A10816
36.0,157,0,A,A10817
36.0,157,0,C,A10818
36.0,157,0,A,A10819
36.0,157,0,A,A10820
36.0,157,0,A,A10821
36.0,157,0,A,A10825
36.0,157,0,A,A10826
36.0,157,0,A,A10829
36.0,157,0,A,A10832
36.0,157,0,A,A10833
36.0,157,0,A,A10835
36.0,157,0,A,A10836
36.0,157,0,A,A10838
36.0,157,0,A,A10839
36.0,157,0,A,A10840
36.0,157,0,A,A10844
36.0,157,0,A,A10845
36.0,157,0,A,A10846
36.0,157,0,A,A10847
36.0,157,0,A,A10850
36.0,157,0,A,A10851
36.0,157,0,A,A10852
36.0,157,0,A,A10853
36.0,157,0,A,A10855
36.0,157,0,A,A10856
36.0,157,0,A,A10858
35.0,157,0,A,A1086
22.0,7,0,A,A10863
22.0,7,0,A,A10867
36.0,157,0,A,A10868
36.0,157,0,A,A10869
36.0,157,0,A,A10871
36.0,157,0,A,A10872
36.0,157,0,A,A10873
36.0,157,0,A,A10874
36.0,157,0,A,A10875
36.0,157,0,A,A10877
36.0,157,0,A,A10878
36.0,157,0,A,A10881
36.0,157,0,A,A10882
36.0,157,0,A,A10883
36.0,157,0,A,A10884
36.0,157,0,A,A10887
35.0,157,0,A,A1089
36.0,157,0,A,A10890
36.0,157,0,A,A10894
36.0,157,0,A,A10896
36.0,157,0,A,A10898
36.0,157,0,A,A10902
36.0,157,0,A,A10904
36.0,157,0,A,A10908
36.0,157,0,A,A10912
36.0,157,0,A,A10914
36.0,157,0,A,A10915
35.0,157,0,A,A1092
36.0,157,0,A,A10921
36.0,157,0,A,A10922
36.0,157,0,A,A10923
36.0,157,0,A,A10924
36.0,157,0,A,A10925
36.0,157,0,A,A10927
36.0,157,0,A,A10928
36.0,157,0,A,A10929
35.0,157,0,A,A1093
36.0,157,0,A,A10931
36.0,157,0,A,A10934
36.0,157,0,A,A10937
36.0,157,0,A,A10938
36.0,157,0,A,A10939
35.0,157,0,A,A1094
36.0,157,0,A,A10940
36.0,157,0,A,A10941
36.0,157,0,A,A10942
36.0,157,0,A,A10943
36.0,157,0,A,A10944
36.0,157,0,A,A10946
36.0,157,0,A,A10947
36.0,157,0,A,A10948
36.0,157,0,A,A10949
35.0,157,0,A,A1095
36.0,157,0,A,A10950
36.0,157,0,A,A10951
36.0,157,0,A,A10954
36.0,157,0,A,A10956
36.0,157,0,A,A10958
35.0,157,0,A,A1096
36.0,157,0,A,A10961
36.0,157,0,A,A10963
22.0,7,0,A,A10964
36.0,157,0,A,A10965
36.0,157,0,A,A10966
36.0,157,0,A,A10967
35.0,157,0,A,A1097
36.0,157,0,A,A10971
36.0,157,0,A,A10972
36.0,157,0,A,A10975
36.0,157,0,A,A10976
36.0,157,0,A,A10977
36.0,157,0,A,A10978
35.0,157,0,A,A1098
36.0,157,0,A,A10980
36.0,157,0,A,A10981
36.0,157,0,A,A10985
36.0,157,0,A,A10986
36.0,157,0,A,A10987
36.0,157,0,A,A10988
36.0,157,0,A,A10989
36.0,157,0,A,A10992
36.0,157,0,A,A10994
36.0,157,0,A,A10995
36.0,157,0,A,A10996
36.0,157,0,A,A10998
36.0,157,0,A,A10999
35.0,157,0,A,A11
36.0,157,0,A,A11001
36.0,157,0,A,A11002
36.0,157,0,A,A11003
36.0,157,0,A,A11005
36.0,157,0,A,A11006
36.0,157,0,A,A11007
36.0,157,0,A,A11008
35.0,157,0,A,A1101
22.0,7,0,A,A11010
36.0,157,0,A,A11011
36.0,157,0,A,A11012
36.0,157,0,A,A11013
36.0,157,0,A,A11014
36.0,157,0,A,A11015
36.0,157,0,A,A11016
36.0,157,0,A,A11017
36.0,157,0,A,A11023
36.0,157,0,A,A11024
36.0,157,0,A,A11026
36.0,157,0,A,A11028
36.0,157,0,A,A11029
36.0,157,0,A,A11030
36.0,157,0,A,A11031
36.0,157,0,A,A11032
36.0,157,0,A,A11037
21.0,7,0,A,A1104
36.0,7,0,A,A11042
36.0,157,0,A,A11043
36.0,157,0,A,A11046
36.0,157,0,A,A11048
35.0,157,0,A,A1105
22.0,7,0,A,A11051
36.0,157,0,A,A11052
36.0,157,0,A,A11053
36.0,157,0,A,A11056
36.0,157,0,A,A11057
36.0,157,0,A,A11058
36.0,157,0,A,A11060
36.0,157,0,A,A11062
36.0,157,0,A,A11064
36.0,157,0,A,A11065
36.0,157,0,A,A11066
36.0,157,0,A,A11067
36.0,157,0,A,A11069
36.0,157,0,A,A11070
36.0,157,0,A,A11071
36.0,157,0,A,A11072
36.0,157,0,A,A11074
36.0,157,0,A,A11075
36.0,157,0,A,A11076
36.0,157,0,A,A11078
36.0,157,0,A,A11079
35.0,157,0,A,A1108
36.0,157,0,A,A11081
36.0,157,0,A,A11082
36.0,157,0,A,A11083
36.0,157,0,A,A11084
36.0,157,0,A,A11085
36.0,157,0,A,A11086
35.0,157,0,A,A1109
36.0,157,0,A,A11091
22.0,7,0,A,A11094
22.0,7,0,A,A11096
36.0,157,0,A,A11097
36.0,157,0,A,A11098
35.0,157,0,A,A1110
22.0,7,0,A,A11100
36.0,157,0,A,A11102
36.0,157,0,A,A11104
36.0,157,0,A,A11106
36.0,157,0,A,A11107
36.0,157,0,A,A11108
36.0,157,0,A,A11109
35.0,157,0,A,A1111
36.0,157,0,A,A11110
36.0,157,0,A,A11111
36.0,157,0,A,A11112
36.0,157,0,A,A11113
36.0,157,0,A,A11117
36.0,157,0,A,A11119
35.0,157,0,A,A1112
22.0,7,0,A,A11122
36.0,157,0,A,A11124
36.0,157,0,A,A11126
36.0,157,0,A,A11128
36.0,157,0,A,A11130
36.0,157,0,A,A11132
36.0,157,0,A,A11134
36.0,157,0,A,A11136
36.0,157,0,A,A11139
35.0,157,0,A,A1114
36.0,157,0,A,A11140
36.0,157,0,A,A11141
36.0,157,0,A,A11142
36.0,157,0,A,A11143
36.0,157,0,A,A11145
36.0,157,0,A,A11146
36.0,157,0,A,A11147
36.0,157,0,A,A11148
36.0,157,0,A,A11149
36.0,157,0,A,A11150
22.0,7,0,A,A11151
36.0,157,0,A,A11152
36.0,157,0,A,A11153
36.0,157,0,A,A11154
36.0,157,0,A,A11155
36.0,157,0,A,A11157
36.0,157,0,A,A11159
35.0,157,0,A,A1116
36.0,157,0,A,A11162
36.0,157,0,A,A11163
22.0,7,0,A,A11168
22.0,7,0,A,A11169
35.0,157,0,A,A1117
36.0,157,0,A,A11172
36.0,157,0,A,A11174
36.0,157,0,A,A11177
36.0,157,0,A,A11178
36.0,157,0,A,A11179
36.0,157,0,A,A11182
36.0,157,0,A,A11183
36.0,157,0,A,A11184
22.0,7,0,A,A11185
36.0,157,0,A,A11187
35.0,157,0,A,A1119
36.0,157,0,A,A11192
22.0,7,0,A,A11194
36.0,157,0,A,A11195
36.0,157,0,A,A11196
36.0,157,0,A,A11197
36.0,157,0,A,A11198
36.0,157,0,A,A11199
35.0,157,0,A,A1120
36.0,157,0,A,A11201
36.0,157,0,A,A11202
36.0,158,0,A,A11205
36.0,157,0,A,A11206
36.0,157,0,A,A11207
36.0,157,0,A,A11208
36.0,157,0,A,A11209
35.0,157,0,A,A1121
22.0,7,0,A,A11210
22.0,7,0,A,A11211
36.0,157,0,A,A11217
36.0,157,0,A,A11218
36.0,157,0,A,A11219
36.0,157,0,A,A11220
36.0,157,0,A,A11222
36.0,157,0,A,A11223
36.0,157,0,A,A11224
36.0,157,0,A,A11225
36.0,157,0,A,A11228
36.0,157,0,A,A11230
36.0,157,0,A,A11231
36.0,157,0,A,A11232
36.0,157,0,A,A11234
36.0,157,0,A,A11235
36.0,157,0,A,A11239
36.0,158,0,A,A11240
36.0,157,0,A,A11241
36.0,157,0,A,A11242
36.0,157,0,A,A11243
36.0,157,0,A,A11244
36.0,157,0,A,A11245
36.0,157,0,A,A11246
36.0,157,0,A,A11247
35.0,157,0,A,A1125
36.0,157,0,A,A11250
36.0,157,0,A,A11252
36.0,157,0,A,A11253
36.0,157,0,A,A11254
36.0,157,0,A,A11257
36.0,157,0,A,A11258
35.0,157,0,A,A1126
36.0,157,0,A,A11260
36.0,157,0,A,A11262
36.0,157,0,A,A11264
36.0,157,0,A,A11268
36.0,157,0,A,A11269
35.0,157,0,A,A1127
36.0,157,0,A,A11270
36.0,157,0,A,A11271
36.0,157,0,A,A11273
36.0,157,0,A,A11278
35.0,157,0,A,A1128
36.0,157,0,A,A11280
36.0,157,0,A,A11281
36.0,157,0,A,A11283
36.0,157,0,A,A11284
36.0,157,0,A,A11285
36.0,157,0,A,A11286
36.0,157,0,A,A11288
36.0,157,0,A,A11289
36.0,157,0,A,A11291
36.0,157,0,A,A11293
36.0,157,0,A,A11295
36.0,157,0,A,A11296
36.0,157,0,A,A11297
36.0,157,0,A,A11300
36.0,157,0,A,A11302
36.0,157,0,A,A11303
36.0,157,0,A,A11304
36.0,157,0,A,A11306
36.0,157,0,A,A11308
22.0,7,0,A,A11309
35.0,157,0,A,A1131
36.0,157,0,A,A11312
36.0,157,0,A,A11314
36.0,157,0,A,A11317
22.0,7,0,A,A11319
35.0,157,0,A,A1132
36.0,157,0,A,A11320
74.0,158,2,A,A11322
36.0,157,0,A,A11323
36.0,157,0,A,A11324
36.0,157,0,A,A11325
36.0,157,0,A,A11326
35.0,157,0,A,A1133
36.0,157,0,A,A11332
36.0,157,0,A,A11333
36.0,157,0,A,A11336
36.0,157,0,A,A11339
35.0,157,0,A,A1134
36.0,157,0,A,A11342
36.0,157,0,A,A11343
36.0,157,0,A,A11345
36.0,157,0,A,A11347
36.0,157,0,A,A11348
36.0,157,0,A,A11349
36.0,157,0,A,A11350
36.0,157,0,A,A11351
36.0,157,0,A,A11353
36.0,157,0,A,A11355
36.0,157,0,A,A11356
36.0,157,0,A,A11357
36.0,157,0,A,A11358
36.0,157,0,A,A11360
36.0,157,0,A,A11361
36.0,157,0,A,A11365
36.0,157,0,A,A11367
36.0,157,0,A,A11368
35.0,157,0,A,A1137
36.0,157,0,A,A11371
36.0,157,0,A,A11372
36.0,157,0,A,A11375
36.0,157,0,A,A11377
36.0,157,0,A,A11378
36.0,157,0,A,A11379
36.0,157,0,A,A11381
36.0,157,0,A,A11382
36.0,157,0,A,A11383
36.0,157,0,A,A11385
36.0,157,0,A,A11386
36.0,157,0,A,A11387
36.0,157,0,A,A11388
36.0,157,0,A,A11389
35.0,157,0,A,A1139
36.0,157,0,A,A11390
36.0,157,0,A,A11392
36.0,157,0,A,A11393
36.0,157,0,A,A11394
36.0,157,0,A,A11395
36.0,157,0,A,A11396
36.0,157,0,A,A11397
36.0,157,0,A,A11399
36.0,157,0,A,A11401
36.0,157,0,A,A11406
36.0,157,0,A,A11407
36.0,157,0,A,A11409
36.0,157,0,A,A11410
36.0,157,0,A,A11411
36.0,157,0,A,A11412
36.0,157,0,A,A11413
36.0,157,0,A,A11414
36.0,157,0,A,A11418
36.0,157,0,A,A11419
36.0,157,0,A,A11421
36.0,157,0,A,A11422
36.0,157,0,A,A11423
36.0,157,0,A,A11427
36.0,157,0,A,A11428
35.0,157,0,A,A1143
36.0,157,0,A,A11432
36.0,157,0,A,A11433
36.0,157,0,A,A11434
36.0,157,0,A,A11435
36.0,157,0,A,A11437
36.0,157,0,A,A11440
36.0,157,0,A,A11443
36.0,157,0,A,A11444
36.0,157,0,A,A11445
36.0,157,0,A,A11446
36.0,157,0,A,A11447
36.0,157,0,A,A11448
36.0,157,0,A,A11449
36.0,157,0,A,A11450
36.0,157,0,A,A11451
36.0,157,0,A,A11453
36.0,157,0,A,A11454
36.0,157,0,A,A11455
36.0,157,0,A,A11457
36.0,157,0,A,A11461
36.0,157,0,A,A11462
36.0,157,0,A,A11463
36.0,157,0,A,A11464
36.0,157,0,A,A11465
36.0,157,0,A,A11466
36.0,157,0,A,A11467
36.0,157,0,A,A11468
22.0,7,0,A,A11469
35.0,157,0,A,A1147
36.0,157,0,A,A11470
36.0,157,0,A,A11471
36.0,157,0,A,A11472
36.0,157,0,A,A11473
36.0,157,0,A,A11475
36.0,157,0,A,A11477
36.0,157,0,A,A11479
21.0,7,0,A,A1148
36.0,157,0,A,A11480
36.0,157,0,A,A11482
36.0,157,0,A,A11483
36.0,157,0,A,A11484
36.0,157,0,A,A11485
36.0,157,0,A,A11487
36.0,157,0,A,A11488
36.0,157,0,A,A11490
36.0,157,0,A,A11491
36.0,157,0,A,A11493
36.0,157,0,A,A11494
36.0,157,0,A,A11496
36.0,157,0,A,A11498
35.0,157,0,A,A115
35.0,157,0,A,A1150
36.0,157,0,A,A11500
36.0,157,0,A,A11503
36.0,157,0,A,A11506
36.0,157,0,A,A11507
36.0,157,0,A,A11509
36.0,157,0,A,A11510
36.0,157,0,A,A11511
36.0,157,0,A,A11516
36.0,157,0,A,A11517
36.0,157,0,A,A11518
35.0,157,0,A,A1152
36.0,157,0,A,A11521
36.0,157,0,A,A11523
